year,A1,A2,A3
,label A1,label A2,label A3
1987,16,4560,84
1988,13,4468,74
1989,8,4335,71
1990,4,4753,54
1991,15,4347,102
1992,20,4541,124
1993,5,4457,59
1994,4,4682,43
1995,14,4483,128
1996,2,4409,22
1997,0,4302,32
1998,2,4425,31
1999,7,4627,113
2000,2,4281,33
2001,6,3815,43
2002,7,4647,72
2003,5,4366,63
2004,6,4612,69
2005,7,4025,61
2006,12,4518,96
2007,2,4142,33
2008,3,3938,45
2009,6,4203,52
2010,2,4428,40
2011,5,4407,68
2012,0,4047,15
2013,16,4533,120
2014,13,4531,92
2015,2,4278,31
2016,27,4304,151
2016
2017,6,3740,41
2018,4,4123,55
2019,5,3680,66
2020,1,3425,18
2021,1,4091,24
2022,0,4015,12
2023,0,4013,52
2024,10,3795,106
2025,8,4027,59
2026,2,4105,53
2027,6,4142,63
2028,2,3808,21
2029,6,3913,95
2030,9,4080,73
2031,8,3588,72
2032,4,3701,41
2033,6,3825,45
2034,18,4056,134
2035,8,3890,50
2036,7,4403,49
2037,2,3730,25
2038,11,4100,74
2039,6,4043,58
2040,5,3942,66
2041,3,3840,41
2042,16,4035,113
2043,16,3400,146
2044,9,3866,92
2045,5,4208,46
2046,5,3678,42

min,,3000
max,,5000
steps,,9
decimal
