year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,125,146,123,322
1988,429,195,143,122
1989,233,137,60,347
1990,259,116,46,257
1991,220,146,124,205
1992,87,137,189,245
1993,107,190,135,221
1994,289,157,229,244
1995,298,61,142,220
1996,182,91,101,228
1997,91,123,45,262
1998,143,182,185,158
1999,98,144,176,256
2000,70,173,120,562
2001,482,154,187,130
2002,203,188,139,443
2003,214,125,122,380
2004,311,165,220,255
2005,115,112,114,241
2006,216,92,213,346
2007,281,218,161,138
2008,329,187,197,198
2009,159,145,87,291
2010,196,78,96,294
2011,120,60,164,234
2012,97,193,169,287
2013,158,137,79,221
2014,438,155,171,319
2015,187,128,250,187
2016,331,99,53,168
