year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,35,-120,-161,238
1988,335,-73,-114,52
1989,144,-185,-282,259
1990,165,-155,-300,187
1991,148,-85,-156,153
1992,-2,-136,-69,161
1993,7,-50,-147,134
1994,203,-99,-52,143
1995,177,-229,-185,120
1996,74,-190,-234,130
1997,-1,-187,-283,144
1998,33,-93,-107,53
1999,-8,-125,-146,155
2000,-27,-84,-181,459
2001,393,-140,-114,47
2002,107,-80,-160,363
2003,105,-185,-223,299
2004,214,-139,-77,178
2005,21,-186,-228,150
2006,125,-202,-125,247
2007,172,-86,-125,56
2008,224,-110,-88,118
2009,48,-151,-225,190
2010,98,-244,-200,205
2011,21,-256,-112,127
2012,-28,-75,-135,185
2013,65,-130,-270,120
2014,338,-158,-144,236
2015,93,-176,-44,101
2016,229,-163,-269,85
