year,A1,A2,A3
,label A1,label A2,label A3
1987,14,2112,85
1988,4,2224,36
1989,9,2178,84
1990,12,1921,106
1991,5,2212,94
1992,17,2330,109
1993,9,2241,69
1994,6,1974,57
1995,16,2334,96
1996,8,2121,78
1997,0,2194,38
1998,11,2136,70
1999,10,2171,102
2000,11,2271,93
2001,23,2072,155
2002,9,2159,69
2003,5,2241,46
2004,5,2158,53
2005,11,2255,80
2006,19,2063,121
2007,8,2194,56
2008,4,2162,42
2009,6,2106,39
2010,11,2237,79
2011,11,2072,72
2012,7,1987,75
2013,8,2285,66
2014,6,2231,49
2015,15,2069,122
2016,32,2093,179
2016
2017,16,2084,137
2018,23,1925,157
2019,23,2043,169
2020,25,1784,182
2021,25,1779,171
2022,22,1844,149
2023,11,2036,142
2024,28,1997,221
2025,20,1849,138
2026,6,2047,105
2027,8,1949,104
2028,30,2017,181
2029,17,1999,162
2030,19,1805,162
2031,36,1852,240
2032,24,1752,165
2033,13,1941,90
2034,30,1835,184
2035,25,1760,166
2036,12,1888,104
2037,27,1916,162
2038,26,1918,185
2039,11,1885,98
2040,24,2059,142
2041,16,1893,121
2042,33,2045,208
2043,7,1957,94
2044,33,1975,191
2045,27,1859,181
2046,26,1952,174

min,,1400
max,,3000
steps,,9
decimal
