year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,other-cereal,winter-rapeseed,sunflower,spring-field-peas,broad-bean,lupine,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,65,60,60,45,78,50,18,20,40,30,30,135,85,51
2001,60,60,55,46,80,50,25,20,40,35,35,130,85,49
2002,70,65,65,50,75,52,34,20,45,40,35,130,85,50
2003,65,61,58,50,60,50,32,20,37,35,30,105,58,39
2004,71,66,60,45,80,55,28,20,45,35,30,135,85,50
2005,70,67,67,60,77,50,37,20,47,40,35,115,54,39
2006,68,62,63,50,77,50,28,20,40,35,30,107,56,35
2007,55,52,48,40,86,30,26,22,34,30,29,125,98,62
2008,70,66,64,46,85,32,31,25,45,35,30,120,96,62
2009,75,70,69,45,91,35,37,22,46,38,36,122,73,44
2010,67,66,63,40,75,30,33,20,47,34,34,103,57,33
2011,70,65,66,40,93,33,37,22,50,34,34,136,70,43
2012,69,69,66,40,89,35,34,22,46,34,34,135,97,61
2013,75,73,65,45,75,29,33,22,39,34,34,137,60,38
2014,76,76,66,47,97,33,33,22,39,34,34,148,87,67
2015,79,78,71,40,88,33,33,23,52,30,34,119,86,41
2016,68,65,56,45,80,29,37,22,40,28,33,119,50,28
2017,77,70,63,45,87,37,40,10,46,38,34,135,75,55
