year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,4.4,13.3,18.4,9.3
1988,7.7,14.3,17.0,10.2
1989,8.3,14.6,19.2,10.6
1990,9.5,14.4,19.3,9.5
1991,6.3,12.6,19.1,8.7
1992,7.3,13.9,17.6,10.4
1993,8.3,13.9,16.9,9.4
1994,9.0,13.3,17.8,12.3
1995,9.1,13.7,18.7,11.0
1996,7.5,13.1,17.5,9.8
1997,7.9,14.0,18.9,11.8
1998,8.4,13.8,17.4,10.6
1999,8.8,14.3,19.1,10.8
2000,8.0,13.7,18.0,11.1
2001,8.0,13.5,17.4,9.4
2002,8.8,13.2,17.1,11.0
2003,7.3,14.8,19.2,9.7
2004,7.2,13.9,18.0,9.7
2005,7.2,14.5,18.3,9.8
2006,5.8,14.3,19.4,11.5
2007,9.2,15.3,16.5,8.9
2008,8.4,14.2,16.7,8.9
2009,7.1,14.4,17.9,11.1
2010,6.0,14.4,17.7,9.1
2011,8.5,15.2,17.5,12.7
2012,8.2,13.4,17.4,11.0
2013,6.3,12.5,18.9,11.1
2014,8.6,14.2,18.2,11.3
2015,7.2,14.3,17.2,12.5
2016,7.8,13.5,18.7,9.5
