year,annual-average-temperature
1987,11.4
1988,12.3
1989,13.2
1990,13.2
1991,11.7
1992,12.3
1993,12.2
1994,13.1
1995,13.1
1996,12.0
1997,13.2
1998,12.6
1999,13.3
2000,12.7
2001,12.1
2002,12.6
2003,12.8
2004,12.2
2005,12.5
2006,12.8
2007,12.5
2008,12.1
2009,12.7
2010,11.8
2011,13.5
2012,12.5
2013,12.3
2014,13.1
2015,12.8
2016,12.4
