year,F1,F3,M4
,label F1,label F3,label M4
1987,72,150,1
1988,58,137,2
1989,43,128,0
1990,52,126,0
1991,49,135,1
1992,33,140,0
1993,53,140,1
1994,42,147,0
1995,64,135,2
1996,55,137,2
1997,59,134,0
1998,55,138,1
1999,49,138,0
2000,51,143,2
2001,46,136,1
2002,68,141,0
2003,37,143,2
2004,56,139,2
2005,60,137,0
2006,56,138,0
2007,50,125,1
2008,56,133,1
2009,40,137,2
2010,52,142,1
2011,44,134,2
2012,49,140,1
2013,49,131,2
2014,69,140,1
2015,63,143,2
2016,44,140,1
2016
2017,39,125,2
2018,40,132,1
2019,29,135,2
2020,54,134,2
2021,43,135,0
2022,48,134,1
2023,42,132,0
2024,24,132,1
2025,33,133,1
2026,63,135,0
2027,26,132,0
2028,28,122,1
2029,42,135,1
2030,35,127,1
2031,34,135,0
2032,27,136,1
2033,49,129,1
2034,39,132,1
2035,25,130,2
2036,32,137,0
2037,38,132,0
2038,43,128,1
2039,35,126,0
2040,51,130,1
2041,50,132,2
2042,41,132,2
2043,31,132,2
2044,40,130,2
2045,38,130,0
2046,22,139,2
