year,annual-precipitations
1987,672
1988,520
1989,522
1990,443
1991,394
1992,867
1993,769
1994,908
1995,645
1996,693
1997,757
1998,744
1999,673
2000,809
2001,545
2002,833
2003,668
2004,902
2005,560
2006,896
2007,930
2008,986
2009,859
2010,653
2011,442
2012,887
2013,584
2014,821
2015,640
2016,730
