year,annual-frozen-days
1987,65
1988,35
1989,43
1990,28
1991,62
1992,40
1993,37
1994,32
1995,40
1996,64
1997,32
1998,18
1999,21
2000,17
2001,45
2002,9
2003,45
2004,27
2005,34
2006,37
2007,27
2008,39
2009,37
2010,68
2011,10
2012,25
2013,43
2014,8
2015,10
2016,15
