year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,2.5,10.6,14.7,6.8
1988,5.0,11.1,14.2,7.2
1989,6.1,10.9,16.1,7.1
1990,7.1,11.1,15.9,7.4
1991,3.9,10.1,16.2,6.8
1992,5.5,12.6,14.8,5.8
1993,5.5,11.7,13.9,5.9
1994,5.0,11.0,15.3,8.3
1995,5.2,11.3,16.9,7.5
1996,3.6,10.3,15.3,6.5
1997,5.7,11.1,16.2,7.8
1998,7.2,11.6,15.4,7.2
1999,6.3,12.3,16.8,7.8
2000,6.5,11.7,15.7,7.6
2001,4.4,11.5,15.9,8.4
2002,6.8,12.2,16.0,7.9
2003,5.3,12.7,16.5,7.2
2004,5.7,12.4,15.9,7.8
2005,5.8,11.7,15.8,7.7
2006,4.3,12.0,17.2,8.9
2007,6.4,12.4,14.8,7.7
2008,5.8,11.5,15.3,6.7
2009,4.7,12.0,15.5,7.3
2010,3.3,11.5,15.3,4.7
2011,6.2,13.0,15.9,9.3
2012,6.5,10.8,15.2,7.0
2013,3.2,11.0,16.7,8.7
2014,6.6,12.7,16.1,8.8
2015,5.4,11.7,15.3,10.1
2016,5.8,11.6,16.9,8.1
