year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,110,198,199,165
1988,174,114,145,87
1989,74,193,92,162
1990,123,94,75,152
1991,109,100,107,78
1992,180,145,236,306
1993,101,191,230,247
1994,226,142,223,317
1995,281,94,155,115
1996,116,159,156,262
1997,134,243,161,218
1998,183,262,102,197
1999,166,187,136,183
2000,74,222,206,308
2001,134,108,148,154
2002,203,122,210,298
2003,136,221,130,181
2004,192,202,359,149
2005,91,145,189,135
2006,171,170,250,306
2007,236,222,247,225
2008,258,155,293,281
2009,125,213,266,256
2010,158,80,234,181
2011,119,70,98,154
2012,88,290,264,246
2013,127,107,158,192
2014,200,222,192,206
2015,93,124,200,224
2016,202,208,174,145
