year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,17,93,4
1988,22,95,4
1989,26,91,3
1990,16,92,3
1991,14,9,5
1992,20,95,4
1993,16,94,3
1994,16,96,4
1995,21,91,3
1996,16,9,3
1997,15,91,3
1998,17,96,2
1999,16,95,3
2000,18,94,4
2001,17,96,4
2002,22,95,4
2003,23,9,4
2004,17,100,3
2005,15,104,5
2006,17,93,3
2007,23,99,2
2008,19,92,4
2009,24,9,3
2010,18,95,2
2011,17,96,3
2012,14,92,2
2013,15,90,4
2014,0,96,3
2015,15,95,3
2016,18,90,4
2016
2017,15,86,4
2018,18,94,3
2019,14,96,3
2020,16,93,3
2021,18,96,2
2022,16,93,4
2023,18,91,4
2024,16,93,3
2025,19,94,4
2026,14,97,3
2027,18,90,4
2028,15,90,4
2029,17,85,4
2030,0,95,4
2031,14,86,4
2032,14,87,5
2033,14,93,4
2034,16,95,4
2035,16,88,3
2036,16,94,4
2037,15,92,4
2038,16,92,4
2039,0,92,3
2040,0,97,3
2041,16,96,4
2042,20,100,4
2043,17,94,4
2044,18,88,4
2045,18,91,4
2046,17,9,4
