year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,46,-337,-412,203
1988,86,-261,-417,-63
1989,-58,-249,-254,-7
1990,-99,-251,-419,103
1991,-5,-187,-389,162
1992,-65,-293,-455,123
1993,-82,-311,-422,69
1994,-69,-285,-455,-5
1995,-141,-328,-409,0
1996,17,-231,-343,103
1997,-74,-324,-403,5
1998,-60,-316,-457,-16
1999,-81,-350,-475,-15
2000,-111,-305,-448,197
2001,-13,-371,-495,-98
2002,-96,-338,-393,-41
2003,63,-411,-491,142
2004,-34,-139,-468,269
2005,52,-304,-442,107
2006,-56,-425,-313,-18
2007,-26,-340,-489,-71
2008,-12,-381,-490,80
2009,45,-314,-429,-20
2010,108,-187,-507,260
2011,97,-333,-443,104
2012,-31,-255,-492,-11
2013,42,-287,-378,-33
2014,68,-337,-453,63
2015,157,-373,-467,-1
2016,-75,-343,-421,51
