year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-FGN,label C2,label C3-FGN,label C12,label M1-FGN,label M2,label M8,label Co2,label Co3
1987,2,0,-405,8,0,-626,43,0,13
1988,0,0,-346,8,0,-591,31,0,41
1989,0,0,-391,10,0,-668,19,0,6
1990,1,0,-456,8,0,-670,31,0,48
1991,2,0,-507,8,0,-770,30,0,19
1992,0,0,-333,10,4,-645,42,0,26
1993,0,0,-449,10,0,-691,32,1,3
1994,0,0,-475,7,1,-705,29,0,86
1995,0,0,-427,8,0,-641,28,0,15
1996,3,0,-444,10,0,-628,32,0,45
1997,0,0,-398,9,0,-638,29,0,19
1998,4,0,-412,0,0,-703,20,0,35
1999,0,0,-435,8,0,-691,33,0,36
2000,0,0,-489,8,0,-725,31,0,50
2001,0,0,-439,11,1,-658,27,0,35
2002,0,0,-382,9,2,-678,21,0,27
2003,0,0,-389,6,0,-677,44,0,33
2004,4,0,-389,10,0,-611,44,0,73
2005,2,0,-476,6,2,-685,32,1,28
2006,0,0,-452,9,0,-679,12,0,25
2007,0,0,-440,3,0,-647,35,0,56
2008,0,0,-465,10,0,-678,40,1,24
2009,0,0,-354,8,0,-684,38,0,24
2010,1,0,-405,9,0,-698,38,0,16
2011,0,0,-349,9,0,-596,31,1,14
2012,0,0,-379,9,0,-651,40,0,14
2013,5,0,-501,8,0,-686,28,0,42
2014,0,0,-372,1,0,-669,34,0,1
2015,1,0,-395,8,0,-655,36,0,12
2016,1,0,-460,10,0,-706,32,0,23
2016
2017,0,0,-389,9,0,-665,33,0,54
2018,0,0,-410,7,0,-685,31,0,28
2019,0,0,-373,10,12,-753,28,0,43
2020,1,0,-319,11,2,-665,41,0,12
2021,0,0,-452,9,1,-754,36,0,34
2022,8,0,-422,6,2,-729,25,0,43
2023,3,0,-483,7,0,-737,27,0,25
2024,0,0,-546,7,0,-764,33,0,74
2025,5,0,-316,9,2,-655,32,0,101
2026,4,0,-496,9,0,-702,20,0,100
2027,7,0,-546,6,0,-792,26,0,0
2028,1,0,-410,7,8,-699,38,0,79
2029,1,0,-393,9,0,-758,35,0,37
2030,3,0,-421,9,4,-765,37,0,50
2031,0,0,-453,9,0,-597,19,0,20
2032,0,0,-387,7,0,-653,26,0,19
2033,0,0,-443,9,1,-674,28,0,59
2034,5,0,-509,7,0,-748,24,0,144
2035,2,0,-458,7,0,-728,20,0,88
2036,3,0,-413,8,5,-759,22,0,182
2037,0,0,-479,7,6,-705,38,0,49
2038,0,0,-365,7,0,-621,45,0,39
2039,3,0,-349,8,8,-694,22,0,122
2040,0,0,-413,8,2,-651,29,0,94
2041,4,0,-461,11,0,-702,27,0,2
2042,1,0,-487,7,2,-705,23,0,82
2043,3,0,-406,7,4,-722,24,0,0
2044,0,0,-460,9,0,-664,35,0,0
2045,2,0,-410,10,0,-661,22,0,115
2046,2,0,-426,11,10,-706,29,0,37

min,,,,0,,,5
max,,,,11,,,55
steps,,,,12,,,11
decimals
