year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,172,26,26,342
1988,219,85,32,87
1989,82,109,155,129
1990,45,110,24,245
1991,126,162,60,300
1992,76,77,3,262
1993,67,60,72,214
1994,93,91,48,156
1995,42,48,37,160
1996,153,109,90,244
1997,79,74,28,151
1998,85,66,23,132
1999,84,67,17,142
2000,28,82,19,341
2001,136,50,6,77
2002,64,93,58,118
2003,214,25,32,318
2004,107,229,37,440
2005,197,114,26,263
2006,95,24,176,139
2007,128,100,34,93
2008,141,41,35,226
2009,194,128,117,134
2010,257,199,19,411
2011,233,88,67,278
2012,124,148,14,151
2013,182,79,92,126
2014,203,49,5,227
2015,301,63,40,135
2016,77,57,73,206
