year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-95,-389,-508,-60
1988,-109,-213,-542,-113
1989,-157,-394,-416,-30
1990,-90,-73,-236,84
1991,-1,-88,-251,83
1992,-92,-105,-278,-27
1993,-120,-297,-377,44
1994,-123,-325,-342,-14
1995,-162,-364,-447,-63
1996,15,-285,-291,60
1997,-47,-191,-283,16
1998,-123,-285,-417,-29
1999,-77,-216,-327,-12
2000,-120,-302,-415,30
2001,16,-232,-344,-41
2002,-104,-209,-305,-7
2003,14,-285,-349,24
2004,-20,-175,-298,-44
2005,-130,-309,-382,119
2006,-76,-316,-230,60
2007,-77,-251,-428,-93
2008,-60,-116,-368,49
2009,-54,-308,-375,1
2010,13,-235,-352,23
2011,-9,-282,-430,-33
2012,-110,-237,-363,-22
2013,28,-157,-327,-84
2014,-77,-263,-220,86
2015,-65,-392,-395,-28
2016,6,-184,-406,53
