year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,46,118,118
1988,33,115,115
1989,42,119,119
1990,49,125,125
1991,41,119,119
1992,50,117,117
1993,35,115,115
1994,29,120,120
1995,38,113,113
1996,35,124,124
1997,48,109,109
1998,40,114,114
1999,40,113,113
2000,41,120,120
2001,33,121,121
2002,38,99,99
2003,38,124,124
2004,33,118,118
2005,29,108,108
2006,27,114,114
2007,42,110,110
2008,43,111,111
2009,52,115,115
2010,61,127,127
2011,55,125,125
2012,42,120,120
2013,41,109,109
2014,36,109,109
2015,28,107,107
2016,46,111,111
2016,0,0,0
2017,48,119,119
2018,42,122,122
2019,37,97,97
2020,44,111,111
2021,22,112,112
2022,30,112,112
2023,45,121,121
2024,34,123,123
2025,34,119,119
2026,25,116,116
2027,33,104,104
2028,45,120,120
2029,33,106,106
2030,35,121,121
2031,42,111,111
2032,22,111,111
2033,23,100,100
2034,33,115,115
2035,33,121,121
2036,35,118,118
2037,34,111,111
2038,32,110,110
2039,31,118,118
2040,40,112,112
2041,23,119,119
2042,31,110,110
2043,18,114,114
2044,33,114,114
2045,38,109,109
2046,25,113,113
