year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,60,98,182,107
1988,74,39,95,76
1989,61,97,99,54
1990,71,29,89,154
1991,52,93,67,94
1992,104,174,330,248
1993,183,124,224,94
1994,83,145,168,132
1995,158,164,196,128
1996,34,168,122,155
1997,134,79,225,99
1998,146,133,227,185
1999,104,99,83,188
2000,66,143,172,107
2001,88,156,183,129
2002,133,125,113,64
2003,125,86,135,128
2004,140,111,212,90
2005,103,102,186,120
2006,20,57,131,167
2007,57,93,207,117
2008,70,56,186,93
2009,29,66,132,127
2010,49,81,174,49
2011,48,65,208,101
2012,34,138,204,219
2013,24,136,122,127
2014,47,40,86,121
2015,111,206,189,119
2016,42,196,153,62
