year,spring-barley,spring-oat,potatoes,temporary-grasslands
,Q-ha,Q-ha,Q-ha,Q-ha
2000,19,,153.6
2001,16,,144.2
2002,27,30.7,180
2003,24,,159.5
2004,18,,134.8,36.7
2005,22,,147.8,35.4
2006,26,,178.6
2007,27,,172.7
2008,26,,193.2
2009,25,,173.2
2010,24,,167.7
2011,11,,131.2
2012,15,,132.6,32.7
2013,29,29.6,199.6
2014,27,,182.3,35.2
2015,15,,133.2,44.2
2016,26,,171.5,39.2
2017,13,5.7,148.8,28.4
