year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-12.9,5.4,10.6,-2.2
1988,-7.8,6.5,13.6,-4.1
1989,-3.5,7.7,13.1,-2.0
1990,-4.5,7.6,12.9,-0.8
1991,-8.2,5.9,13.0,-0.9
1992,-8.2,3.2,9.3,-7.8
1993,-10.0,2.8,8.9,-7.5
1994,-12.4,4.1,9.5,-5.6
1995,-3.7,6.6,12.8,-2.7
1996,-7.1,5.6,13.2,-1.6
1997,-4.8,5.7,14.8,-1.8
1998,-8.6,5.5,12.8,-3.0
1999,-9.6,7.2,13.0,-1.3
2000,-5.3,6.8,13.1,1.7
2001,-8.2,6.6,13.4,-2.0
2002,-6.3,8.9,14.4,-5.5
2003,-6.8,7.1,14.5,-2.5
2004,-6.3,6.0,13.6,-0.3
2005,-5.4,6.8,14.4,0.6
2006,-8.9,6.7,14.1,-0.3
2007,-8.1,7.5,12.5,-0.3
2008,-4.5,6.2,11.9,-1.6
2009,-8.8,7.2,13.4,-2.4
2010,-11.9,6.8,12.7,-6.5
2011,-10.7,8.1,14.1,1.6
2012,-6.8,5.8,12.3,-2.9
2013,-9.2,7.4,13.4,-0.5
2014,-4.3,7.1,14.5,-1.9
2015,-4.5,6.9,13.4,0.1
2016,-7.8,7.3,13.1,-1.6
