year,A1,A2,A3
,label A1,label A2,label A3
1987,1,5806,8
1988,2,5746,13
1989,0,5481,1
1990,0,5100,1
1991,0,5560,5
1992,3,5617,13
1993,1,5572,12
1994,0,5439,0
1995,1,5499,23
1996,1,5582,13
1997,0,5416,1
1998,0,5594,0
1999,0,5648,1
2000,0,5528,10
2001,3,5484,26
2002,1,5507,18
2003,3,4935,18
2004,1,5749,17
2005,0,5472,0
2006,0,5197,5
2007,2,5549,33
2008,0,5617,4
2009,0,5172,5
2010,0,5364,3
2011,2,5642,20
2012,0,5695,9
2013,0,5488,2
2014,0,5759,12
2015,1,5244,12
2016,0,5323,20
2016
2017,0,4759,6
2018,0,5109,1
2019,1,5014,13
2020,8,5048,59
2021,0,5296,5
2022,2,4823,21
2023,0,5192,13
2024,0,5200,1
2025,0,4815,3
2026,2,5082,20
2027,0,4912,17
2028,0,4833,6
2029,0,4712,8
2030,0,4973,12
2031,0,4589,6
2032,0,5058,12
2033,1,5029,20
2034,8,4720,43
2035,0,4894,4
2036,1,4718,18
2037,1,4839,21
2038,0,4908,9
2039,8,4719,66
2040,2,4883,24
2041,0,4772,2
2042,0,4754,6
2043,4,5076,25
2044,0,4819,18
2045,3,4803,23
2046,3,4900,35

min,,3300
max,,6600
steps,,7
decimal
