year,F1,F3,M4
,label F1,label F3,label M4
1987,154,195,1
1988,139,182,3
1989,140,179,1
1990,144,188,3
1991,141,185,1
1992,139,183,2
1993,130,180,1
1994,139,187,2
1995,139,180,2
1996,150,187,2
1997,145,192,2
1998,137,187,0
1999,142,185,2
2000,146,183,3
2001,145,180,2
2002,146,186,3
2003,136,182,1
2004,150,188,3
2005,137,187,2
2006,136,185,4
2007,145,189,4
2008,155,191,4
2009,141,187,1
2010,141,186,3
2011,150,188,4
2012,147,188,2
2013,130,183,2
2014,151,192,1
2015,147,189,1
2016,151,189,2
2016
2017,139,182,0
2018,129,179,2
2019,140,177,1
2020,133,177,1
2021,137,177,1
2022,122,179,1
2023,144,181,3
2024,140,182,0
2025,137,180,2
2026,140,182,4
2027,126,170,1
2028,127,178,5
2029,145,187,0
2030,131,173,1
2031,140,180,4
2032,140,180,1
2033,147,181,2
2034,127,169,1
2035,131,173,2
2036,133,183,0
2037,139,177,3
2038,134,179,3
2039,132,175,0
2040,140,181,1
2041,137,179,2
2042,133,180,3
2043,131,178,1
2044,126,171,2
2045,137,183,2
2046,128,177,2

min,,19-May
max,,18-Jul
steps,,4
decimal
