year,annual-hydric-deficit
1987,163
1988,169
1989,-123
1990,1
1991,-41
1992,100
1993,206
1994,252
1995,-1
1996,-208
1997,-103
1998,-14
1999,166
2000,376
2001,261
2002,62
2003,-197
2004,9
2005,-51
2006,-116
2007,74
2008,150
2009,-40
2010,-49
2011,-101
2012,229
2013,181
2014,195
2015,36
2016,46
