year,annual-estival-days
1987,11
1988,10
1989,28
1990,28
1991,22
1992,15
1993,5
1994,12
1995,21
1996,10
1997,15
1998,8
1999,15
2000,5
2001,17
2002,7
2003,22
2004,14
2005,14
2006,23
2007,5
2008,7
2009,15
2010,7
2011,10
2012,11
2013,15
2014,10
2015,16
2016,16
