year,F1,F3,M4
,label F1,label F3,label M4
1987,43,120,2
1988,58,138,3
1989,36,133,3
1990,50,130,3
1991,46,137,1
1992,39,135,2
1993,46,135,1
1994,63,136,0
1995,39,128,2
1996,28,142,2
1997,47,125,1
1998,25,134,2
1999,54,127,3
2000,47,137,0
2001,63,133,2
2002,31,142,2
2003,49,139,1
2004,42,144,1
2005,48,138,3
2006,39,124,3
2007,47,131,1
2008,45,128,2
2009,47,132,2
2010,38,128,2
2011,60,137,3
2012,50,135,1
2013,45,135,4
2014,52,134,2
2015,31,120,3
2016,21,129,2
2016
2017,19,130,3
2018,32,126,4
2019,38,122,2
2020,41,137,4
2021,36,123,5
2022,41,132,4
2023,47,119,1
2024,31,123,3
2025,27,131,2
2026,35,128,2
2027,40,130,3
2028,23,122,1
2029,43,131,5
2030,24,125,5
2031,35,120,3
2032,40,127,3
2033,32,127,2
2034,37,131,0
2035,53,127,3
2036,26,141,4
2037,44,123,2
2038,52,130,4
2039,29,136,1
2040,44,127,3
2041,40,126,5
2042,44,129,0
2043,52,128,3
2044,32,125,2
2045,30,125,4
2046,34,128,4

min,,80,0
max,,170,8
steps,,10,9
decimal
