year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,2.1,11.8,16.5,7.6
1988,6.0,12.0,15.6,8.3
1989,6.5,12.2,17.4,8.1
1990,7.7,12.0,17.0,8.0
1991,4.6,10.6,17.4,7.0
1992,5.4,13.0,17.0,7.7
1993,5.7,13.2,15.1,6.8
1994,6.5,11.8,16.9,9.9
1995,6.9,11.8,17.7,8.6
1996,4.2,11.3,15.9,7.4
1997,5.7,12.3,17.2,9.0
1998,6.9,12.9,16.3,8.1
1999,6.8,13.0,17.9,8.7
2000,6.6,12.8,16.7,9.3
2001,6.2,12.3,16.9,9.1
2002,7.6,12.5,16.4,9.5
2003,5.9,13.5,18.0,8.2
2004,6.1,12.5,17.2,8.6
2005,6.0,13.1,17.0,9.4
2006,4.4,12.8,18.6,10.5
2007,7.7,13.7,16.1,8.5
2008,7.1,13.3,16.4,8.1
2009,4.7,13.0,17.4,9.3
2010,4.3,11.9,16.9,6.9
2011,6.7,14.0,16.7,10.6
2012,5.8,12.1,16.7,9.1
2013,3.8,11.0,17.2,9.2
2014,7.6,12.7,16.9,9.9
2015,5.5,12.5,16.5,10.8
2016,6.1,12.4,17.8,8.0
