year,V1,V2,V3,V9
,label V1-EMU,label V2-EMU,label V3,label V9-EMU
1987,939,9,-255,2
1988,1017,8,-218,4
1989,1140,5,-187,4
1990,940,11,-248,10
1991,1024,9,-372,3
1992,875,8,-296,2
1993,1108,4,-475,2
1994,1227,8,-535,3
1995,969,7,-273,6
1996,868,8,-240,7
1997,837,8,-356,7
1998,757,6,-285,10
1999,1195,7,-437,0
2000,1110,9,-483,8
2001,944,8,-248,19
2002,1106,6,-210,1
2003,703,7,-248,9
2004,969,6,-194,5
2005,974,8,-251,1
2006,1162,10,-277,9
2007,926,6,-165,2
2008,952,5,-190,0
2009,971,8,-282,0
2010,1032,8,-161,9
2011,1026,8,-182,1
2012,900,8,-207,1
2013,1223,10,-280,3
2014,1120,10,-326,0
2015,1142,9,-251,3
2016,837,8,-117,2
2016
2017,998,10,-131,9
2018,1096,10,-125,2
2019,1092,7,-188,1
2020,1199,9,-182,1
2021,1113,7,-257,5
2022,920,9,-149,1
2023,1124,8,-363,0
2024,900,9,-151,3
2025,1047,11,-124,1
2026,1008,11,-243,1
2027,1068,10,-299,3
2028,1043,10,-35,0
2029,1053,10,-264,6
2030,1036,9,-292,1
2031,1114,9,-119,1
2032,1131,10,-203,0
2033,1198,10,-133,1
2034,971,10,-106,3
2035,1002,10,-197,0
2036,1053,8,-194,0
2037,1007,8,-224,5
2038,931,5,-305,2
2039,1039,10,-222,1
2040,986,7,-204,1
2041,1079,8,10,3
2042,1190,9,-268,2
2043,1137,9,-293,8
2044,849,7,-162,4
2045,1070,8,-123,0
2046,1093,9,-207,1

min,600,2
max,1500,14
steps,7,7
decimal
