year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-EMU,label C2-EMU,label C3-EMU,label C12-EMU,label M1,label M2,label M8-EMU,label Co2,label Co3-EMU
1987,6,0,-179,5,0,-217,46,55,65
1988,9,0,-182,2,0,-263,43,61,51
1989,17,1,-163,2,0,-210,24,49,81
1990,1,0,-146,5,0,-250,49,48,45
1991,4,3,-208,2,0,-356,40,49,87
1992,14,4,-200,3,1,-261,34,67,56
1993,19,1,-275,5,1,-469,28,60,36
1994,18,5,-249,7,0,-447,36,51,35
1995,6,1,-196,4,0,-245,29,69,70
1996,4,2,-155,3,0,-192,46,58,129
1997,9,1,-248,1,0,-353,43,59,48
1998,1,6,-143,5,0,-232,37,66,24
1999,26,0,-255,5,1,-369,32,64,60
2000,11,4,-204,7,2,-411,38,62,37
2001,13,9,-163,1,3,-273,43,63,60
2002,4,0,-134,2,3,-203,40,57,81
2003,1,0,-174,2,0,-230,53,35,47
2004,16,1,-170,2,0,-261,37,52,61
2005,16,0,-156,3,1,-273,54,60,75
2006,18,1,-187,3,0,-247,46,48,51
2007,7,0,-165,3,0,-128,36,54,121
2008,9,0,-102,2,0,-213,42,56,52
2009,6,1,-180,4,0,-261,44,66,43
2010,9,2,-123,3,0,-145,47,56,69
2011,9,0,-115,3,0,-199,40,53,61
2012,10,0,-157,2,0,-180,53,61,84
2013,11,4,-164,5,0,-282,36,48,76
2014,13,0,-153,2,0,-297,49,46,52
2015,15,0,-226,3,0,-265,31,66,95
2016,6,1,-124,2,0,-109,59,47,121
2016
2017,13,0,-157,3,0,-100,44,34,97
2018,18,0,-182,0,1,-139,41,45,130
2019,4,0,-213,2,1,-213,31,48,62
2020,8,2,-176,3,1,-205,41,37,70
2021,14,1,-158,3,0,-242,31,43,99
2022,3,0,-109,3,1,-170,49,53,69
2023,12,1,-239,1,1,-302,36,58,94
2024,7,1,-161,3,0,-187,48,31,95
2025,7,0,-195,1,0,-105,40,47,137
2026,1,1,-198,0,0,-245,46,41,123
2027,8,0,-230,1,0,-278,40,38,110
2028,4,0,-87,2,0,-97,40,44,128
2029,5,0,-187,2,0,-274,45,44,77
2030,10,4,-190,4,0,-306,32,44,40
2031,8,0,-194,3,0,-169,34,43,103
2032,6,0,-197,5,0,-185,32,50,92
2033,15,0,-176,2,1,-171,31,49,103
2034,17,2,-160,3,0,-184,39,39,55
2035,7,0,-145,4,0,-227,42,36,67
2036,7,1,-167,3,0,-264,35,46,40
2037,7,2,-163,3,1,-220,42,47,61
2038,5,0,-164,3,0,-289,36,42,41
2039,8,0,-171,1,0,-223,45,39,75
2040,13,0,-161,2,0,-231,40,48,71
2041,12,0,-159,3,0,19,37,46,172
2042,19,2,-149,7,0,-250,30,55,38
2043,5,3,-214,4,0,-244,28,45,97
2044,5,4,-85,4,0,-182,43,36,86
2045,12,0,-171,1,0,-141,33,36,138
2046,7,0,-134,1,0,-231,35,39,88
