year,F1,F3,M4
,label F1,label F3,label M4
1987,31,129,7
1988,24,112,9
1989,29,113,7
1990,24,111,10
1991,23,125,8
1992,25,106,10
1993,27,108,9
1994,32,116,11
1995,26,109,6
1996,31,115,7
1997,20,115,9
1998,25,114,9
1999,24,116,6
2000,27,110,6
2001,36,112,9
2002,34,116,8
2003,25,126,8
2004,32,118,10
2005,18,109,10
2006,32,110,6
2007,20,116,8
2008,27,118,9
2009,37,113,9
2010,24,117,7
2011,26,119,8
2012,33,126,8
2013,27,110,8
2014,35,117,7
2015,39,120,8
2016,29,118,10
2016
2017,17,113,10
2018,34,105,7
2019,25,101,6
2020,23,119,8
2021,25,111,7
2022,22,127,8
2023,23,106,11
2024,27,116,9
2025,22,112,7
2026,23,108,8
2027,19,117,7
2028,25,109,8
2029,22,103,10
2030,22,98,9
2031,17,97,8
2032,22,114,10
2033,26,109,7
2034,21,104,9
2035,19,113,8
2036,34,108,10
2037,27,113,9
2038,18,105,10
2039,27,108,9
2040,20,112,9
2041,18,116,8
2042,21,117,8
2043,23,100,9
2044,22,112,9
2045,21,103,10
2046,26,102,7

min,,70
max,,140
steps,,11
decimal
