year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,21,-241,-427,-50
1988,-60,-322,-288,-48
1989,-118,-311,-414,-97
1990,-80,-264,-388,146
1991,1,-309,-423,2
1992,-103,-256,-404,27
1993,-79,-321,-406,100
1994,-35,-364,-457,-41
1995,-42,-244,-290,-49
1996,20,-280,-310,40
1997,-126,-364,-242,130
1998,-39,-375,-334,83
1999,-80,-389,-415,-8
2000,-59,-365,-283,27
2001,-32,-392,-483,-72
2002,-102,-308,-388,-29
2003,142,-284,-334,183
2004,-41,-238,-433,105
2005,-23,-197,-455,146
2006,344,-442,-401,242
2007,146,-338,-480,62
2008,-6,-387,-464,132
2009,277,-314,-360,78
2010,175,-337,-390,1
2011,69,-335,-457,-16
2012,22,-396,-483,22
2013,186,-379,-365,18
2014,179,-206,-445,180
2015,371,-324,-300,163
2016,-12,-305,-449,29
