year,A1,A2,A3
,label A1,label A2,label A3
1987,71,2091,467
1988,84,1720,594
1989,70,1847,467
1990,76,1789,602
1991,54,1910,480
1992,89,1687,612
1993,79,1778,579
1994,69,1758,555
1995,85,1563,575
1996,63,1814,454
1997,57,1703,518
1998,55,1744,405
1999,90,1811,625
2000,62,1811,558
2001,89,1923,561
2002,77,1975,527
2003,66,2019,475
2004,68,1969,490
2005,78,1905,532
2006,68,1819,466
2007,81,1693,586
2008,81,1891,523
2009,59,1891,418
2010,70,1884,464
2011,85,1803,577
2012,49,2032,339
2013,75,1718,523
2014,65,1964,460
2015,83,1979,629
2016,64,1980,447
2016
2017,98,1579,667
2018,101,1703,744
2019,82,1433,551
2020,84,1716,625
2021,78,1733,593
2022,116,1837,862
2023,99,1488,771
2024,88,1726,687
2025,73,1690,604
2026,90,1673,623
2027,90,1627,645
2028,96,1556,647
2029,81,1479,617
2030,75,1414,612
2031,110,1356,740
2032,91,1757,548
2033,89,1632,637
2034,76,1554,571
2035,81,1579,660
2036,83,1621,667
2037,83,1686,533
2038,89,1416,638
2039,92,1575,673
2040,100,1515,699
2041,83,1577,575
2042,108,1692,779
2043,91,1355,706
2044,90,1667,682
2045,109,1390,718
2046,113,1456,746

min,,900
max,,2250
steps,,10
decimal


