year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
,(mm),(mm),(mm),(mm)
1987,127,170,122,88
1988,255,397,110,64
1989,177,145,127,77
1990,122,162,100,188
1991,137,180,149,126
1992,85,364,135,270
1993,30,350,287,216
1994,116,254,147,111
1995,173,138,159,140
1996,175,158,149,246
1997,100,195,138,105
1998,72,149,122,155
1999,131,187,97,172
2000,75,248,121,190
2001,203,231,167,59
2002,124,252,189,231
2003,156,64,77,206
2004,221,204,89,195
2005,28,133,186,97
2006,170,100,145,92
2007,127,214,74,85
2008,118,203,88,206
2009,137,228,81,165
2010,113,249,66,162
2011,92,106,136,91
2012,53,170,84,137
2013,253,224,85,171
2014,216,199,154,119
2015,142,107,157,76
2016,224,192,84,100
