year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,38,-137,-238,-22
1988,149,139,-233,-50
1989,55,-195,-297,-50
1990,-9,-147,-316,102
1991,38,-104,-247,41
1992,-18,70,-247,175
1993,-105,27,-70,115
1994,-9,-80,-248,0
1995,39,-228,-256,-1
1996,37,-199,-215,139
1997,-40,-175,-244,-19
1998,-75,-208,-296,57
1999,3,-152,-321,57
2000,-59,-85,-271,72
2001,71,-102,-205,-67
2002,-17,-72,-154,113
2003,13,-323,-387,87
2004,100,-128,-317,85
2005,-101,-232,-214,-12
2006,49,-279,-287,-34
2007,4,-114,-316,-31
2008,-16,-129,-293,105
2009,9,-100,-331,43
2010,-10,-76,-334,49
2011,-25,-266,-240,-27
2012,-93,-203,-369,5
2013,138,-62,-313,54
2014,85,-159,-213,-17
2015,27,-277,-237,-49
2016,92,-150,-338,-10
