year,annual-precipitations
1987,544
1988,418
1989,387
1990,397
1991,258
1992,542
1993,570
1994,757
1995,596
1996,416
1997,511
1998,554
1999,475
2000,459
2001,702
2002,701
2003,405
2004,636
2005,521
2006,417
2007,661
2008,498
2009,622
2010,728
2011,558
2012,470
2013,607
2014,523
2015,485
2016,473

min,300
max,2000
steps,10
decimal
