year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1747,8,-287,0
1988,1459,7,-344,0
1989,1856,13,-412,3
1990,1669,13,-368,0
1991,1705,12,-473,0
1992,1474,9,-337,7
1993,1493,12,-452,2
1994,1595,11,-370,2
1995,1665,10,-421,0
1996,1508,11,-475,1
1997,1372,11,-367,0
1998,1696,12,-364,2
1999,1534,13,-419,18
2000,1351,12,-442,6
2001,1648,13,-374,4
2002,1248,10,-249,3
2003,1480,10,-362,2
2004,1141,8,-234,2
2005,1602,10,-334,0
2006,1486,11,-406,2
2007,1312,10,-423,3
2008,1514,11,-342,1
2009,1707,10,-272,0
2010,1603,10,-248,0
2011,1407,10,-334,2
2012,1475,10,-344,0
2013,1622,12,-389,0
2014,1309,9,-225,3
2015,1498,10,-340,1
2016,1743,12,-396,2
2016
2017,1753,12,-359,3
2018,2036,13,-454,5
2019,1511,11,-300,1
2020,1591,12,-300,3
2021,1838,11,-438,1
2022,1771,14,-333,0
2023,1352,10,-451,3
2024,1762,12,-394,3
2025,1350,10,-247,10
2026,1674,11,-462,15
2027,1719,11,-378,1
2028,1701,11,-409,6
2029,1996,10,-450,0
2030,1581,13,-381,2
2031,1689,13,-323,4
2032,1662,11,-340,0
2033,1181,11,-347,11
2034,1195,11,-175,2
2035,1509,10,-241,1
2036,1639,11,-277,0
2037,1479,10,-314,2
2038,1861,12,-425,0
2039,1793,11,-427,0
2040,1518,11,-317,1
2041,1641,11,-407,0
2042,1609,12,-322,8
2043,1607,11,-269,3
2044,1615,15,-294,2
2045,1536,9,-333,0
2046,1414,9,-267,0

min,,4
max,,17
steps,,8
decimal
