year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-2.8,12.3,16.9,6.0
1988,3.7,13.4,17.5,5.8
1989,5.1,13.1,18.0,5.8
1990,5.7,13.5,17.0,5.8
1991,2.9,11.2,18.3,5.2
1992,3.8,14.2,18.7,5.0
1993,2.4,14.5,15.5,4.0
1994,3.5,13.2,18.6,6.9
1995,3.6,12.1,18.1,4.9
1996,-1.6,12.3,15.6,4.4
1997,3.2,12.5,18.2,5.1
1998,4.9,14.6,16.9,4.4
1999,3.7,13.7,19.1,5.8
2000,4.3,15.2,17.2,7.7
2001,3.0,13.0,17.9,6.3
2002,4.7,13.9,18.3,4.7
2003,1.6,14.9,19.2,5.4
2004,2.7,12.9,17.5,6.0
2005,2.2,13.4,17.5,6.3
2006,-0.1,13.5,19.6,8.9
2007,5.9,15.2,17.0,5.4
2008,5.0,14.0,17.4,6.0
2009,1.6,14.2,18.5,6.0
2010,0.2,12.5,17.8,3.4
2011,2.6,15.1,17.7,6.9
2012,2.6,13.8,18.0,6.0
2013,-0.1,13.1,18.0,7.3
2014,5.2,14.1,18.3,7.7
2015,3.7,13.3,19.0,8.3
2016,3.5,14.2,19.5,5.7
