year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,77,122,0
1988,59,116,0
1989,94,148,0
1990,78,134,0
1991,73,123,0
1992,61,138,0
1993,92,145,0
1994,82,139,0
1995,65,135,0
1996,69,128,0
1997,70,136,0
1998,80,131,0
1999,85,149,0
2000,63,141,0
2001,74,135,0
2002,68,140,0
2003,74,130,1
2004,65,136,1
2005,56,126,0
2006,77,137,1
2007,78,131,1
2008,79,133,0
2009,78,132,0
2010,80,130,1
2011,67,136,0
2012,62,126,0
2013,72,126,0
2014,68,140,0
2015,60,125,0
2016,59,133,0
2016
2017,58,131,0
2018,81,135,0
2019,93,139,0
2020,44,135,1
2021,68,129,2
2022,78,134,0
2023,57,131,0
2024,71,133,0
2025,52,134,0
2026,85,141,1
2027,55,128,0
2028,61,133,1
2029,61,118,0
2030,36,125,0
2031,56,116,1
2032,44,124,2
2033,62,133,0
2034,37,142,0
2035,49,126,0
2036,53,124,0
2037,49,126,0
2038,49,119,1
2039,89,146,0
2040,31,128,0
2041,70,131,0
2042,66,131,0
2043,66,132,0
2044,58,132,0
2045,54,130,0
2046,42,130,0

min,,90,0
max,,190,6
steps,,11,7
decimal
