year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,131,148,188,77
1988,116,55,135,112
1989,70,108,84,125
1990,68,99,119,111
1991,29,73,84,72
1992,140,107,169,125
1993,79,143,224,124
1994,158,214,284,101
1995,99,183,234,80
1996,34,109,148,125
1997,83,117,204,108
1998,58,146,191,158
1999,87,159,126,103
2000,118,131,123,86
2001,155,168,251,129
2002,96,153,230,222
2003,89,92,125,99
2004,125,194,208,109
2005,95,120,210,96
2006,93,111,124,89
2007,128,185,253,96
2008,96,138,167,97
2009,107,141,175,199
2010,83,154,347,144
2011,72,121,298,66
2012,82,178,110,101
2013,104,231,140,132
2014,42,168,240,74
2015,83,75,206,121
2016,122,132,111,108
