year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,526,658,-314,-287,1,10.3,3880,54,16.9,78
1988,466,631,-341,-344,22,9.3,3708,49,15.9,73
1989,481,685,-365,-412,26,9.7,3738,76,20.9,101
1990,442,636,-365,-368,4,9.4,3698,47,18.6,96
1991,437,737,-540,-473,-23,10.1,3817,44,16.9,81
1992,450,620,-350,-337,-7,9.7,3619,38,16.9,69
1993,440,723,-507,-452,-60,9.1,3440,28,17.5,108
1994,562,699,-360,-370,15,9.4,3677,47,18.0,89
1995,431,657,-399,-421,2,10.0,3757,56,18.4,73
1996,480,721,-512,-475,-14,9.7,3680,39,17.6,85
1997,588,679,-325,-367,21,9.4,3628,33,17.8,76
1998,484,612,-303,-364,69,9.9,3840,50,19.1,89
1999,512,736,-497,-419,-55,9.8,3742,40,19.5,100
2000,435,662,-465,-442,31,9.4,3582,38,17.4,85
2001,447,632,-371,-374,2,10.2,3892,48,18.5,81
2002,582,589,-186,-249,23,9.5,3594,27,16.0,70
2003,447,616,-348,-362,14,9.8,3742,41,16.5,76
2004,534,565,-220,-234,12,9.0,3401,21,15.0,76
2005,524,633,-286,-334,22,10.0,3821,48,17.3,68
2006,393,621,-403,-406,-8,9.1,3570,36,17.4,92
2007,355,600,-431,-423,-3,9.0,3482,27,17.1,89
2008,456,630,-352,-342,6,9.1,3598,48,18.6,88
2009,530,648,-289,-272,0,10.1,3844,52,17.7,69
2010,547,596,-214,-248,31,9.7,3703,38,17.7,90
2011,458,581,-289,-334,25,9.5,3527,33,15.7,74
2012,453,626,-355,-344,-9,9.9,3771,41,16.4,74
2013,507,638,-317,-389,64,9.9,3779,44,18.2,77
2014,529,565,-199,-225,13,8.9,3407,21,16.2,76
2015,433,630,-378,-340,-26,10.2,3863,45,17.7,50
2016,416,646,-407,-396,-15,10.5,3910,59,19.1,73
2016
2017,488,641,-317,-359,8,10.5,3926,50,18.1,63
2018,420,700,-450,-454,1,11.3,4174,81,19.9,69
2019,508,622,-282,-300,18,9.5,3619,28,16.9,80
2020,479,619,-337,-300,-36,11.2,4127,44,18.5,55
2021,492,749,-511,-438,-56,10.9,4033,67,19.4,70
2022,494,622,-324,-333,36,11.1,4139,54,19.7,64
2023,478,722,-528,-451,-29,10.5,3877,32,16.6,47
2024,512,712,-438,-394,-5,10.4,3939,52,18.7,78
2025,533,572,-217,-247,60,9.7,3600,38,17.3,72
2026,485,763,-514,-462,-35,10.6,4000,67,18.7,74
2027,483,703,-485,-378,-66,11.4,4204,37,17.5,58
2028,430,633,-403,-409,2,11.3,4174,49,18.6,59
2029,543,770,-533,-450,-38,12.1,4498,66,18.4,50
2030,588,726,-425,-381,-25,12.0,4392,52,19.2,29
2031,408,595,-389,-323,-26,11.6,4312,50,18.4,63
2032,494,625,-321,-340,18,11.3,4174,53,18.8,43
2033,459,582,-321,-347,16,10.1,3743,21,16.2,57
2034,550,533,-178,-175,-15,10.2,3732,25,16.7,43
2035,586,611,-212,-241,28,10.5,3924,37,16.7,52
2036,549,635,-272,-277,4,11.2,4115,51,18.5,38
2037,465,615,-341,-314,13,10.7,3969,31,17.5,45
2038,457,661,-390,-425,57,11.6,4267,58,19.2,47
2039,426,660,-403,-427,9,10.7,4068,61,19.5,63
2040,496,610,-309,-317,21,10.6,3919,25,17.0,51
2041,374,636,-444,-407,6,10.3,3861,38,17.3,80
2042,465,624,-345,-322,-17,10.4,3887,38,17.2,78
2043,482,605,-311,-269,-26,10.7,4013,34,17.3,71
2044,436,613,-372,-294,-51,10.9,4023,69,20.5,66
2045,469,607,-320,-333,9,10.8,3960,26,16.9,55
2046,506,595,-273,-267,-24,10.4,3820,34,16.5,51

min,200,400,,,,6,2500,,12,30
max,1100,1000,,,,14,5000,,24,150
steps,10,11,,,,9,11,,5,9
decimal

