year,annual-frozen-days
1987,90
1988,65
1989,63
1990,46
1991,72
1992,52
1993,77
1994,42
1995,75
1996,109
1997,65
1998,63
1999,57
2000,36
2001,68
2002,53
2003,81
2004,97
2005,78
2006,79
2007,41
2008,51
2009,66
2010,99
2011,72
2012,57
2013,82
2014,44
2015,48
2016,60
