year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,cereals-mixed-and-only-cereals,winter-rapeseed,sunflower,spring-field-peas,broad-bean,apple,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,49,52,47,38,78,35,28,17,30,28,320,110,77,62
2001,46,50,43,35,84,34,31,25,29,27,305,115,70,61
2002,55,55,47,43,78,36,30,25,34,30,340,110,84,70
2003,45,45,37,35,43,29,32,25,27,27,320,75,71,58
2004,56,54,50,48,91,40,30,28,24,32,320,125,83,69
2005,58,57,52,47,43,40,35,23,18,20,340,85,62,49
2006,54,58,50,47,65,37,25,20,30,30,380,80,60,49
2007,42,42,40,35,91,34,22,22,20,20,370,135,94,77
2008,52,48,45,47,65,38,30,23,36,38,310,105,91,74
2009,57,55,52,47,64,45,34,25,38,28,410,120,73,55
2010,48,46,47,40,58,42,24,20,35,30,380,108,67,50
2011,52,47,48,40,90,40,25,23,31,13,395,105,56,42
2012,52,51,47,44,58,41,29,19,27,30,100,110,88,66
2013,50,53,45,42,64,42,25,17,25,28,350,125,86,68
2014,58,58,50,42,100,42,34,25,32,25,360,180,97,73
2015,60,60,55,40,62,45,35,18,30,20,440,100,64,52
2016,39,40,34,30,42,35,31,18,18,19,370,68,61,50
2017,54,56,48,40,98,41,29,26,30,24,177,161,84,70
