year,F1,F3,M4
,label F1,label F3,label M4
1987,55,129,5
1988,30,117,1
1989,61,125,2
1990,60,122,0
1991,36,123,2
1992,59,130,2
1993,50,134,4
1994,43,120,1
1995,32,132,2
1996,53,127,3
1997,48,119,4
1998,50,122,3
1999,46,128,1
2000,31,118,2
2001,57,120,4
2002,32,118,2
2003,42,120,0
2004,69,128,3
2005,61,132,2
2006,40,124,1
2007,41,125,3
2008,56,110,5
2009,42,129,4
2010,51,117,3
2011,39,132,2
2012,45,126,2
2013,41,117,2
2014,68,138,4
2015,46,126,4
2016,40,111,2
2016
2017,32,128,4
2018,47,119,3
2019,36,113,3
2020,26,124,3
2021,35,110,5
2022,14,116,6
2023,31,126,5
2024,32,115,2
2025,34,125,4
2026,35,126,3
2027,37,109,5
2028,37,123,3
2029,41,108,3
2030,38,126,3
2031,43,128,1
2032,47,126,5
2033,34,124,3
2034,27,116,2
2035,30,116,5
2036,47,117,6
2037,29,119,5
2038,37,114,1
2039,34,119,6
2040,29,119,5
2041,36,120,3
2042,34,115,5
2043,28,126,5
2044,26,115,6
2045,27,109,3
2046,45,111,6

min,,80,0
max,,170,8
steps,,10,9
decimal



