year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,103,-25,-110,222
1988,374,85,-152,86
1989,19,-100,-223,-3
1990,191,-37,-215,198
1991,119,-79,-83,208
1992,66,-3,3,392
1993,-78,63,110,367
1994,232,170,-1,209
1995,318,-149,-93,231
1996,169,-164,-141,241
1997,-6,-71,-166,276
1998,52,-21,-159,200
1999,125,-63,-122,241
2000,106,-15,-105,338
2001,218,6,-29,98
2002,47,-54,-53,231
2003,69,-63,-168,194
2004,155,-129,9,145
2005,85,-117,-204,128
2006,274,-183,-105,123
2007,239,35,-19,83
2008,168,89,-80,180
2009,6,-31,-232,253
2010,140,-69,-209,188
2011,2,-215,-47,192
2012,-22,79,-181,278
2013,109,18,-172,197
2014,173,-117,-109,51
2015,149,-155,-86,37
2016,279,15,-319,91
