year,annual-estival-days
1987,37
1988,30
1989,57
1990,43
1991,57
1992,44
1993,34
1994,47
1995,49
1996,39
1997,61
1998,44
1999,53
2000,46
2001,42
2002,33
2003,74
2004,44
2005,57
2006,58
2007,28
2008,35
2009,60
2010,46
2011,52
2012,47
2013,52
2014,34
2015,56
2016,56
