year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,225,224,150,463
1988,542,238,266,193
1989,315,148,72,338
1990,422,190,92,396
1991,336,177,244,289
1992,76,205,165,333
1993,114,189,271,272
1994,189,186,134,198
1995,291,129,157,165
1996,162,124,156,217
1997,100,195,71,232
1998,171,252,138,245
1999,170,219,153,337
2000,133,263,233,402
2001,361,158,130,175
2002,188,151,163,309
2003,149,86,85,289
2004,220,162,210,252
2005,133,135,114,265
2006,190,101,130,261
2007,281,234,171,149
2008,252,247,131,254
2009,191,160,130,313
2010,202,95,122,295
2011,77,73,105,189
2012,81,240,114,283
2013,203,107,107,254
2014,253,118,151,245
2015,219,101,213,106
2016,274,159,98,204
