year,A1,A2,A3
,label A1,label A2,label A3
1987,6,2200,58
1988,1,2207,6
1989,0,2188,24
1990,1,2338,20
1991,5,2255,45
1992,1,2361,15
1993,1,2386,31
1994,2,2325,20
1995,6,2453,39
1996,2,2345,54
1997,0,2274,9
1998,4,2248,41
1999,0,2278,13
2000,3,2224,34
2001,10,2325,57
2002,6,2289,34
2003,8,2148,62
2004,2,2341,40
2005,2,2074,22
2006,5,2268,33
2007,0,2416,13
2008,6,2163,41
2009,0,2478,6
2010,0,2355,3
2011,5,2414,33
2012,7,2186,58
2013,6,2406,37
2014,0,2246,27
2015,2,2260,30
2016,2,2383,30
2016
2017,3,2162,41
2018,3,2096,43
2019,5,2067,62
2020,2,2188,30
2021,7,2157,77
2022,7,2093,65
2023,5,1903,92
2024,12,2098,95
2025,9,2133,67
2026,9,2202,76
2027,7,2162,74
2028,4,1947,51
2029,1,2090,35
2030,3,1950,51
2031,6,1933,45
2032,3,2207,61
2033,10,2127,69
2034,2,2082,32
2035,2,2254,36
2036,9,2075,89
2037,8,2118,63
2038,3,2114,38
2039,0,2067,28
2040,5,2175,44
2041,17,1871,98
2042,5,2062,53
2043,4,2040,43
2044,9,2193,62
2045,10,1973,69
2046,3,2094,39

min,,1400
max,,3000
steps,,9
decimal
