year,annual-estival-days
1987,17
1988,5
1989,34
1990,37
1991,19
1992,1
1993,4
1994,11
1995,15
1996,13
1997,16
1998,8
1999,11
2000,9
2001,14
2002,5
2003,28
2004,7
2005,11
2006,17
2007,3
2008,6
2009,8
2010,8
2011,10
2012,8
2013,17
2014,10
2015,13
2016,22
