year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-oat,other-cereal,winter-rapeseed,spring-field-peas,broad-bean,lupine,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,67,60,60,50,75,50,50,21,40,30,,120,77,50
2001,72,60,55,45,83,50,45,28,47,40,,128,77,50
2002,78,65,65,46,80,55,50,37,50,35,,122,82,53
2003,74,62,60,50,73,54,50,31,45,35,35,115,65,37
2004,77,67,65,50,87,57,30,31,45,40,40,129,85,51
2005,74,65,67,45,81,55,32,36,45,40,40,130,76,42
2006,74,65,64,50,80,54,50,28,44,40,40,123,59,39
2007,55,54,48,40,75,35,30,22,35,35,35,115,102,68
2008,73,66,67,43,75,52,32,34,44,40,40,115,101,65
2009,74,68,65,45,90,55,35,35,45,40,40,122,80,52
2010,71,65,63,40,79,51,30,34,49,32,35,110,65,39
2011,78,66,70,44,91,51,33,37,51,32,32,135,64,39
2012,68,67,65,44,85,52,35,33,44,32,32,133,96,62
2013,74,72,67,50,75,56,30,34,44,33,32,126,67,46
2014,75,74,66,50,92,45,31,34,44,33,32,146,96,67
2015,78,77,64,46,87,55,31,35,46,30,32,135,87,49
2016,71,66,53,45,81,45,30,34,35,25,25,127,60,38
2017,81,69,68,45,98,59,38,40,45,41,30,146,83,54
