year,annual-precipitations
1987,1061
1988,1239
1989,873
1990,1100
1991,1046
1992,780
1993,846
1994,707
1995,742
1996,659
1997,598
1998,805
1999,879
2000,1030
2001,823
2002,810
2003,609
2004,844
2005,647
2006,681
2007,835
2008,883
2009,794
2010,713
2011,444
2012,719
2013,671
2014,766
2015,639
2016,733
