year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,137,-20,-107,382
1988,444,-11,17,115
1989,222,-140,-237,249
1990,326,-70,-229,321
1991,259,-47,-18,228
1992,-14,-73,-85,253
1993,21,-58,11,181
1994,101,-61,-117,117
1995,190,-107,-118,81
1996,70,-121,-118,136
1997,11,-52,-198,145
1998,76,16,-125,166
1999,81,-18,-120,247
2000,37,38,-12,319
2001,277,-91,-141,87
2002,90,-98,-88,226
2003,51,-187,-215,212
2004,121,-95,-39,166
2005,30,-111,-150,179
2006,106,-150,-154,165
2007,177,5,-72,65
2008,148,-1,-122,168
2009,100,-83,-126,223
2010,105,-167,-137,212
2011,-15,-204,-150,93
2012,-17,8,-142,196
2013,123,-139,-192,163
2014,149,-154,-125,163
2015,130,-175,-64,14
2016,178,-88,-211,133
