year,F1,F3,M4
,label F1,label F3,label M4
1987,25,115,3
1988,21,104,3
1989,27,95,2
1990,25,108,3
1991,20,107,4
1992,15,116,3
1993,25,116,1
1994,38,114,3
1995,24,110,2
1996,26,107,4
1997,28,107,4
1998,21,107,3
1999,19,103,1
2000,25,109,3
2001,26,99,2
2002,27,114,2
2003,20,107,3
2004,20,112,1
2005,25,100,3
2006,22,110,2
2007,27,110,3
2008,33,107,4
2009,25,100,3
2010,29,109,3
2011,19,111,1
2012,30,107,0
2013,31,115,4
2014,24,104,1
2015,24,99,1
2016,27,112,3
2016
2017,22,100,4
2018,23,97,6
2019,21,104,3
2020,23,102,6
2021,24,99,0
2022,29,102,2
2023,25,93,5
2024,18,96,5
2025,28,106,2
2026,28,92,4
2027,21,104,4
2028,25,109,4
2029,21,108,5
2030,20,107,1
2031,18,100,2
2032,20,93,5
2033,23,99,1
2034,28,99,4
2035,21,102,5
2036,27,95,3
2037,20,107,3
2038,21,103,4
2039,22,97,2
2040,22,89,4
2041,20,103,2
2042,16,102,5
2043,22,97,1
2044,24,103,6
2045,18,103,2
2046,35,109,4

min,,70
max,,140
steps,,11
decimal
