year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,219,-20,-94,275
1988,327,207,-72,29
1989,160,122,-141,-9
1990,68,152,-137,614
1991,89,67,19,297
1992,2,-50,83,380
1993,-108,38,11,279
1994,238,176,71,274
1995,371,-95,38,116
1996,299,-94,90,417
1997,61,121,100,474
1998,30,97,-132,454
1999,311,34,-54,298
2000,127,5,-11,649
2001,245,22,-95,47
2002,56,156,91,358
2003,222,-133,-130,404
2004,271,53,-42,344
2005,48,-65,-203,501
2006,183,-110,-3,223
2007,243,-56,11,139
2008,190,111,-65,578
2009,289,70,-215,359
2010,153,32,-170,446
2011,70,-153,58,250
2012,84,104,-215,510
2013,500,231,-119,317
2014,477,-23,-104,392
2015,451,-52,-189,-50
2016,530,-138,-168,242
