year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1664,15,179,0
1988,1711,13,-132,0
1989,1580,14,154,0
1990,1701,14,-167,0
1991,1895,16,-139,0
1992,1895,14,-58,0
1993,1632,15,-91,1
1994,1621,13,-151,1
1995,1604,13,28,0
1996,1731,14,-177,0
1997,1897,15,-145,0
1998,1566,14,8,0
1999,1523,13,-162,0
2000,1634,13,-25,0
2001,1730,13,-86,0
2002,1774,14,-32,0
2003,1772,12,22,0
2004,1704,15,-1,0
2005,2013,15,-301,0
2006,1638,14,154,0
2007,1622,13,85,0
2008,1706,15,-226,0
2009,1647,12,-45,0
2010,1578,13,5,0
2011,1750,14,43,0
2012,1661,12,76,0
2013,1696,14,-110,0
2014,1668,12,-42,0
2015,1677,13,135,0
2016,1677,14,-16,0
2016
2017,2000,16,-83,0
2018,1951,15,-162,0
2019,1882,14,6,0
2020,1968,16,23,0
2021,1915,14,-232,0
2022,1849,14,-292,0
2023,1755,13,-90,0
2024,1891,15,-334,0
2025,1865,16,-12,0
2026,1903,16,-283,0
2027,1712,14,-233,0
2028,1737,14,-98,0
2029,1988,17,-308,0
2030,1736,16,-87,0
2031,1788,14,-33,0
2032,1821,14,101,0
2033,2048,16,-193,0
2034,2048,15,-84,0
2035,2030,16,-29,0
2036,1672,16,148,0
2037,1950,16,-46,0
2038,1752,14,-135,0
2039,1776,15,-179,0
2040,1656,14,-2,0
2041,1845,16,-145,1
2042,1901,13,-44,0
2043,1843,17,106,0
2044,1817,15,-33,0
2045,1832,15,18,0
2046,1905,16,71,0

min,1200,10,,0
max,2700,20,,8
steps,11,11,,9
decimal



