year,F1,F3,M4
,label F1,label F3,label M4
1987,69,130,3
1988,50,123,4
1989,71,135,3
1990,59,120,0
1991,43,130,3
1992,47,128,0
1993,54,133,4
1994,51,118,2
1995,73,127,1
1996,49,133,2
1997,58,125,1
1998,37,125,1
1999,37,125,0
2000,57,126,0
2001,39,112,2
2002,39,117,3
2003,45,126,0
2004,43,116,3
2005,56,127,2
2006,47,118,2
2007,69,133,1
2008,59,132,3
2009,39,122,2
2010,54,121,2
2011,45,120,1
2012,63,126,0
2013,38,111,2
2014,59,136,2
2015,48,125,2
2016,78,132,2
2016
2017,29,127,1
2018,43,119,4
2019,39,137,2
2020,37,125,5
2021,41,135,5
2022,47,118,4
2023,32,131,1
2024,39,123,3
2025,46,116,2
2026,33,114,5
2027,59,128,2
2028,50,128,3
2029,59,128,3
2030,30,129,3
2031,50,128,2
2032,34,128,1
2033,35,124,3
2034,24,116,3
2035,49,126,0
2036,26,127,0
2037,38,114,3
2038,30,121,5
2039,47,128,2
2040,60,135,3
2041,46,127,3
2042,48,117,4
2043,41,111,0
2044,35,118,1
2045,45,135,6
2046,42,124,2

min,,80,0
max,,170,8
steps,,10,9
decimal



