year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,10.6,18.3,26.4,15.4
1988,11.5,19.7,26.7,14.4
1989,10.9,19.1,25.5,15.0
1990,10.6,19.9,24.9,15.7
1991,11.1,17.8,23.6,14.7
1992,9.7,18.7,25.2,16.0
1993,9.8,19.5,25.8,16.3
1994,11.6,20.1,27.0,16.0
1995,11.9,19.9,26.0,14.9
1996,10.2,20.0,25.8,15.6
1997,11.3,19.2,25.0,15.4
1998,11.2,19.9,26.8,15.9
1999,11.5,20.8,26.7,17.3
2000,10.5,20.8,26.6,16.7
2001,13.1,19.9,27.1,15.1
2002,11.9,20.2,26.3,16.0
2003,10.1,20.5,26.6,16.1
2004,10.8,19.2,25.6,16.5
2005,10.7,19.3,25.9,15.0
2006,10.3,20.5,26.3,14.8
2007,11.9,20.6,26.8,15.4
2008,11.5,20.6,26.7,16.3
2009,11.3,20.6,26.1,16.4
2010,12.4,20.8,27.4,17.0
2011,11.0,19.3,27.1,13.8
2012,9.8,21.4,28.1,17.0
2013,12.3,21.6,27.0,16.1
2014,12.4,19.5,25.9,15.9
2015,10.7,19.2,26.4,15.9
2016,12.6,20.7,26.0,14.9
