year,annual-hydric-deficit
1987,-841
1988,-713
1989,-1219
1990,-1009
1991,-786
1992,-1131
1993,-1079
1994,-980
1995,-1072
1996,-739
1997,-977
1998,-787
1999,-1070
2000,-1042
2001,-888
2002,-613
2003,-622
2004,-866
2005,-764
2006,-1048
2007,-941
2008,-953
2009,-985
2010,-1070
2011,-1039
2012,-1195
2013,-1124
2014,-835
2015,-1049
2016,-1250
