year,A1,A2,A3
,label A1,label A2,label A3
1987,102,956,718
1988,128,1282,780
1989,111,1207,829
1990,108,1237,772
1991,104,1194,827
1992,123,1096,818
1993,103,1184,853
1994,110,1053,903
1995,135,1145,884
1996,116,1342,819
1997,125,1303,888
1998,115,1164,826
1999,106,1063,810
2000,133,1012,996
2001,130,1107,942
2002,109,1295,740
2003,121,1037,796
2004,122,1171,887
2005,110,1088,834
2006,123,1131,855
2007,126,1417,809
2008,111,1235,677
2009,116,1191,840
2010,123,1047,798
2011,107,1095,886
2012,111,1074,789
2013,114,1173,743
2014,114,1168,780
2015,136,1079,929
2016,102,1040,690
2016
2017,141,1011,966
2018,121,898,925
2019,136,997,918
2020,124,1022,928
2021,114,1048,867
2022,137,1000,1043
2023,123,925,985
2024,124,988,930
2025,124,907,931
2026,129,898,1005
2027,142,982,1022
2028,137,1015,934
2029,125,976,1011
2030,118,980,968
2031,144,982,1065
2032,133,1007,1090
2033,130,871,879
2034,123,1107,875
2035,132,893,985
2036,128,875,892
2037,127,938,931
2038,141,966,1000
2039,121,1066,927
2040,138,836,933
2041,132,878,993
2042,138,986,1013
2043,138,1217,1006
2044,127,953,901
2045,141,891,931
2046,146,947,1046

min,2,600,130
max,155,3000,1200
steps,9,9,9
decimals
