year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,312,45,0,199
1988,388,22,0,370
1989,67,9,22,177
1990,140,32,9,205
1991,120,75,7,293
1992,136,33,0,143
1993,173,16,0,201
1994,206,43,0,277
1995,195,5,8,156
1996,381,16,42,213
1997,176,14,22,169
1998,197,41,0,413
1999,133,20,16,178
2000,130,13,3,324
2001,114,70,4,387
2002,126,13,65,499
2003,332,97,4,371
2004,231,16,53,197
2005,294,17,11,227
2006,151,51,30,135
2007,142,33,1,227
2008,217,73,24,143
2009,159,20,68,160
2010,125,32,28,194
2011,207,100,0,73
2012,169,36,5,116
2013,247,69,11,190
2014,271,81,37,284
2015,322,46,46,110
2016,134,46,10,173
