year,annual-hydric-deficit
1987,171
1988,234
1989,-34
1990,-108
1991,8
1992,104
1993,194
1994,238
1995,260
1996,183
1997,-47
1998,478
1999,862
2000,616
2001,760
2002,1118
2003,225
2004,412
2005,457
2006,376
2007,570
2008,374
2009,378
2010,641
2011,380
2012,510
2013,526
2014,364
2015,323
2016,693
