year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,71,-3,35,69
1988,192,-80,-27,149
1989,-10,-45,-50,72
1990,0,-63,-126,81
1991,2,44,-80,42
1992,38,-29,-60,155
1993,52,-116,149,109
1994,56,75,27,80
1995,93,109,-51,109
1996,2,-100,128,152
1997,26,-66,-107,100
1998,128,-62,91,322
1999,245,297,53,267
2000,240,22,233,120
2001,306,159,92,204
2002,200,105,535,278
2003,132,-106,-31,229
2004,217,56,6,133
2005,177,-8,174,114
2006,188,26,81,81
2007,173,23,226,148
2008,124,-24,131,142
2009,140,111,-69,196
2010,91,123,227,201
2011,41,15,136,188
2012,121,54,96,239
2013,199,225,-19,121
2014,38,-34,236,124
2015,130,140,-84,137
2016,216,285,90,103
