year,annual-estival-days
1987,33
1988,22
1989,20
1990,32
1991,37
1992,29
1993,17
1994,36
1995,29
1996,21
1997,29
1998,23
1999,21
2000,27
2001,26
2002,21
2003,66
2004,31
2005,33
2006,45
2007,31
2008,29
2009,33
2010,31
2011,31
2012,32
2013,35
2014,19
2015,47
2016,33

min,16
max,130
steps,9
decimal
