year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.7,13.1,19.8,9.4
1988,6.0,13.8,18.3,9.2
1989,7.2,13.7,19.3,10.2
1990,8.3,13.7,19.3,7.8
1991,5.9,12.1,20.3,7.4
1992,5.3,13.9,19.3,8.8
1993,6.1,14.5,18.4,8.6
1994,6.9,14.0,20.5,10.1
1995,6.2,14.0,19.1,10.0
1996,6.1,14.4,17.9,8.4
1997,8.0,14.7,20.1,9.8
1998,7.5,14.3,19.4,7.3
1999,6.0,14.8,20.4,7.9
2000,6.4,14.9,19.2,9.5
2001,7.4,14.2,18.8,8.1
2002,7.3,14.4,18.1,10.0
2003,5.3,16.6,21.9,8.9
2004,5.6,14.3,19.6,8.9
2005,4.8,15.6,19.4,8.6
2006,5.7,15.6,20.6,11.2
2007,7.7,15.9,18.7,8.6
2008,7.0,14.5,18.9,7.9
2009,5.4,15.2,20.6,9.5
2010,4.0,14.2,19.8,7.6
2011,6.2,15.8,19.7,10.8
2012,5.1,14.7,20.0,9.7
2013,4.3,12.0,19.3,8.8
2014,6.9,14.4,18.2,10.4
2015,5.1,15.2,19.3,10.3
2016,6.5,13.5,19.5,9.2
