year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,28,-171,-206,169
1988,101,-33,-209,-15
1989,6,-96,-197,-6
1990,-19,-21,-264,100
1991,45,-91,-239,87
1992,-52,46,-236,158
1993,-101,2,-229,126
1994,1,-159,-145,114
1995,35,-258,-222,94
1996,162,-214,-145,240
1997,-49,-155,-247,90
1998,-20,-184,-249,61
1999,3,-43,-250,175
2000,-50,-96,-163,120
2001,129,-146,-243,34
2002,-12,-95,-172,184
2003,18,-286,-329,200
2004,145,-161,-192,78
2005,11,-144,-146,79
2006,94,-215,-79,57
2007,61,-37,-138,20
2008,48,43,-287,189
2009,-5,-37,-336,109
2010,99,-132,-298,127
2011,30,-256,-174,69
2012,-71,-44,-320,110
2013,98,-9,-224,72
2014,38,-162,-49,116
2015,33,-201,-232,-34
2016,148,-75,-226,100
